date,symbol,close,change,change_rate,open,high,low,volume,trade_value
2020-11-04,KAU20,22500,0,0,22500,22500,22500,1500,33750000
2020-11-05,KAU20,22300,-200,-0.89,22300,22300,22150,46500,1032350000
2020-11-06,KAU20,22250,-50,-0.22,0,0,0,0,0
2020-11-09,KAU20,22200,-50,-0.22,22050,22200,22050,35469,783711800
2020-11-10,KAU20,22200,0,0,22200,22300,22200,60006,1333158200
2020-11-11,KAU20,22200,0,0,22200,22200,22150,37500,831500000
2020-11-12,KAU20,22200,0,0,22200,22200,21650,32000,705950000
2020-11-13,KAU20,22200,0,0,22200,22200,22200,14000,310800000
2020-11-16,KAU20,22150,-50,-0.23,22150,22150,22150,2000,44300000
2020-11-17,KAU20,22200,50,0.23,22200,22200,22200,23000,510600000
2020-11-18,KAU20,22250,50,0.23,22200,22250,22150,22500,499375000
2020-11-19,KAU20,22300,50,0.22,22300,22300,22300,24000,535200000
2020-11-20,KAU20,22350,50,0.22,22300,22400,22300,15500,346200000
2020-11-23,KAU20,22350,0,0,22350,22350,22350,27000,603450000
2020-11-24,KAU20,22400,50,0.22,22350,22400,22350,35000,783850000
2020-11-25,KAU20,22500,100,0.45,22350,22500,22350,36400,814565000
2020-11-26,KAU20,22500,0,0,22400,22500,22400,11500,258100000
2020-11-27,KAU20,22600,100,0.44,22500,22600,22500,25500,574800000
2020-11-30,KAU20,22700,100,0.44,22700,23000,22700,216500,4824952400
2020-12-01,KAU20,22700,0,0,22700,22700,22700,3824,86804800
2020-12-02,KAU20,22700,0,0,22700,22700,22700,6000,136200000
2020-12-03,KAU20,22700,0,0,22700,22700,22700,14176,321795200
2020-12-04,KAU20,22900,200,0.88,22700,22900,22700,18500,421225000
2020-12-07,KAU20,22900,0,0,22900,22900,22900,13300,304570000
2020-12-08,KAU20,23100,200,0.87,22950,23100,22950,15200,349650000
2020-12-09,KAU20,23400,300,1.3,23100,23400,23100,10500,243550000
2020-12-10,KAU20,23400,0,0,23400,23400,23400,7500,175500000
2020-12-11,KAU20,24000,600,2.56,23600,24300,23600,15000,359950000
2020-12-14,KAU20,25000,1000,4.17,24600,25000,24600,4500,111100000
2020-12-15,KAU20,27500,2500,10,26000,27500,26000,37800,1015500000
2020-12-16,KAU20,28000,500,1.82,25750,30000,25750,11278,322034000
2020-12-17,KAU20,30500,2500,8.93,28000,30500,28000,17612,518366000
2020-12-18,KAU20,30500,0,0,30500,31000,30500,6935,213585000
2020-12-21,KAU20,27450,-3050,-10,28000,29500,27450,16700,464545000
2020-12-22,KAU20,28000,550,2,27450,28000,27450,1600,43975000
2020-12-23,KAU20,27500,-500,-1.79,27500,27500,27500,5600,154000000
2020-12-24,KAU20,27500,0,0,26000,27500,26000,15600,420500000
2020-12-28,KAU20,27000,-500,-1.82,27500,27500,27000,228980,5846835000
2020-12-29,KAU20,24500,-2500,-9.26,24500,25000,24300,166060,4205960000
2020-12-30,KAU20,23000,-1500,-6.12,24000,25000,23000,22808,548687800
2021-01-04,KAU20,23000,0,0,23000,23000,23000,12000,276000000
2021-01-05,KAU20,23000,0,0,23000,23000,23000,2000,46000000
2021-01-06,KAU20,22500,-500,-2.17,22500,23000,22500,8800,199150000
2021-01-07,KAU20,21000,-1500,-6.67,21500,21500,21000,7724,165504000
2021-01-08,KAU20,19800,-1200,-5.71,20900,20900,19800,27500,570200000
2021-01-11,KAU20,19500,-300,-1.52,18900,19500,18900,9500,184350000
2021-01-12,KAU20,18900,-600,-3.08,19000,19000,18900,26844,509251600
2021-01-13,KAU20,17100,-1800,-9.52,18000,18000,17050,88502,1522417350
2021-01-14,KAU20,16000,-1100,-6.43,17100,17100,15600,44100,725460000
2021-01-15,KAU20,16600,600,3.75,15500,16600,15500,13200,205420000
2021-01-18,KAU20,18000,1400,8.43,16100,18000,16100,19200,333500000
2021-01-19,KAU20,18100,100,0.56,18000,18100,18000,23154,417787400
2021-01-20,KAU20,19000,900,4.97,18200,19000,18200,23500,435460000
2021-01-21,KAU20,20900,1900,10,19000,20900,19000,34746,671897600
2021-01-22,KAU20,21000,100,0.48,21500,22950,20900,17480,379261000
2021-01-25,KAU20,21800,800,3.81,21000,21800,21000,10705,230459000
2021-01-26,KAU20,20800,-1000,-4.59,21000,21100,20800,32366,677708400
2021-01-27,KAU20,20000,-800,-3.85,20300,20500,20000,46200,930650000
2021-01-28,KAU20,20100,100,0.5,20000,20100,20000,41985,840188500
2021-01-29,KAU20,19400,-700,-3.48,19500,19500,19100,11000,213792800
